,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1950,-0.06,0.627,-0.008,0.555,0.072,0.539,-0.802,-0.851,0.358,-0.379,-0.515,-1.928
1,1951,-0.085,-0.4,-1.934,-0.776,-0.863,-0.918,0.09,-0.377,-0.818,-0.213,-0.069,1.987
2,1952,0.368,-1.747,-1.859,0.539,-0.774,-0.441,0.383,-0.03,-0.383,-0.437,-1.891,-1.827
3,1953,-1.036,-0.249,1.068,-1.256,-0.562,0.023,0.333,0.085,0.662,-0.194,0.354,0.575
4,1954,-0.148,-0.181,0.476,0.512,-1.656,-0.268,0.341,-0.122,0.301,0.513,-0.328,0.553
5,1955,-1.163,-1.542,-1.568,0.194,0.242,-0.266,0.332,0.76,0.357,0.099,-1.342,-0.444
6,1956,-1.204,-2.029,0.47,-0.868,1.391,0.28,-0.215,-0.652,-0.202,1.139,-0.066,0.001
7,1957,2.062,-1.513,-2.013,0.238,-0.966,-0.76,-0.646,0.097,-0.956,0.903,-1.38,0.828
8,1958,-1.438,-2.228,-2.522,-0.36,-0.336,-1.149,-0.684,-0.755,-0.012,0.77,-0.011,-1.687
9,1959,-2.013,2.544,1.432,0.119,-0.341,-0.033,0.105,-0.745,-0.281,-0.249,-1.411,-0.042
10,1960,-2.484,-2.212,-1.625,-0.297,-0.857,0.055,-0.619,-1.008,-0.382,-1.187,-0.553,-0.343
11,1961,-1.506,0.621,0.341,-0.237,0.157,0.837,-0.108,0.013,0.815,0.203,-0.01,-1.668
12,1962,1.645,-0.358,-2.848,1.169,0.068,0.287,-0.927,0.152,-0.056,-0.016,-1.112,-0.711
13,1963,-3.311,-1.721,0.724,-0.348,0.771,-0.585,-0.303,-0.625,0.083,1.069,-0.419,-1.178
14,1964,0.385,-0.575,-0.558,0.663,1.174,0.142,0.734,-1.207,-0.227,0.342,-0.344,-0.246
15,1965,-1.046,-2.084,-0.905,0.568,-0.153,0.038,-0.51,-0.255,-0.698,0.394,-1.341,0.163
16,1966,-3.232,-1.438,-0.911,-1.837,1.124,0.408,0.011,-0.945,0.011,-1.077,0.111,-1.401
17,1967,-0.576,1.18,1.967,1.7,0.127,0.647,0.259,-0.293,0.133,1.299,0.334,-0.347
18,1968,-0.409,-2.154,1.741,0.328,-0.241,0.42,-0.836,-0.671,-1.009,-1.013,-2.183,-0.783
19,1969,-2.967,-3.114,-1.582,0.438,-0.72,-0.348,0.41,-0.782,-0.083,0.098,0.326,-1.856
20,1970,-2.412,-1.325,-2.084,0.302,0.531,0.875,0.139,-0.263,0.03,0.098,0.378,-0.399
21,1971,-0.163,-0.922,-1.091,-0.583,0.679,-0.668,-0.578,0.818,0.153,1.185,0.419,0.824
22,1972,0.166,-0.195,-0.141,1.007,0.14,-0.049,-0.553,-0.082,-0.92,0.392,-0.38,1.238
23,1973,1.232,0.786,0.537,-1.126,0.073,0.531,0.27,0.313,0.114,0.337,0.002,-0.181
