,pdo_value
0,0.11
1,-0.19
2,-0.37
3,-0.7
4,-1.21
5,-0.99
6,0.12
7,-0.08
8,0.51
9,0.15
10,-0.6
11,0.16
12,0.4
13,0.97
14,1.73
15,1.26
16,1.01
17,1.9
18,2.47
19,1.18
20,0.47
21,0.68
22,1.19
23,1.72
24,1.42
25,1.23
26,1.56
27,1.0
28,0.87
29,-0.13
30,-0.35
31,0.01
32,0.18
33,0.43
34,0.54
35,0.48
36,0.87
37,0.48
38,-0.34
39,-0.52
40,-0.87
41,0.04
42,0.52
43,0.19
44,0.13
45,0.14
46,-0.65
47,0.33
48,1.04
49,1.47
50,1.68
51,1.21
52,0.85
53,0.62
54,1.05
55,-0.19
56,-0.03
57,1.0
58,1.68
59,1.71
60,1.47
61,1.46
62,1.35
63,1.38
64,0.82
65,0.05
66,1.38
67,1.74
68,1.44
69,0.68
70,0.93
71,0.94
72,0.23
73,0.47
74,0.49
75,0.34
76,0.37
77,0.21
78,-0.15
79,-0.88
80,-0.98
81,-0.36
82,-0.06
83,-0.14
84,-1.24
85,-1.45
86,-1.24
87,-0.32
88,-0.09
89,0.11
90,0.56
91,-0.44
92,-0.57
93,-0.51
94,-0.76
95,-0.1
96,-0.42
97,-1.28
98,-1.24
99,-0.15
100,-0.32
101,-0.25
102,-0.31
103,-0.43
104,-0.26
105,-1.16
106,-1.88
107,-2.22
108,-1.8
109,-1.09
110,-1.11
111,-1.63
112,-1.65
113,-2.25
114,-1.57
115,-0.58
116,0.37
117,0.41
118,0.56
119,-0.21
120,0.08
121,0.17
122,0.12
123,0.55
124,1.26
125,1.22
126,1.5
127,0.85
128,0.45
129,1.28
130,1.31
131,0.33
132,-0.28
133,0.02
134,0.24
135,1.0
136,1.79
137,2.05
138,1.48
139,1.96
140,1.15
141,1.31
142,1.13
143,0.67
144,0.85
145,0.33
146,0.27
147,0.49
148,0.55
149,0.1
150,-0.91
151,-0.88
152,-1.51
153,-1.06
154,-1.93
155,-2.22
156,-0.86
157,0.02
158,0.46
159,0.49
160,0.89
161,1.03
162,1.0
163,-0.11
164,1.22
165,0.64
166,0.05
167,0.44
168,1.01
169,1.01
170,0.85
171,1.37
172,2.13
173,1.1
174,0.57
175,-0.66
176,0.07
177,0.4
178,0.38
179,-0.03
180,0.44
181,0.29
182,0.39
183,0.73
184,1.59
185,2.55
186,1.49
187,2.27
188,1.8
189,1.78
190,1.48
191,0.99
192,1.05
193,1.52
194,1.29
195,0.03
196,-0.83
197,-0.78
198,-1.16
199,-0.87
200,-1.7
201,-2.23
202,-0.97
203,-1.09
204,-0.78
205,-1.06
206,-1.18
207,-1.85
208,-2.32
209,-2.34
210,-1.87
211,-1.84
212,-2.24
213,-2.54
214,-2.18
215,-1.92
216,-2.2
217,-1.28
218,-0.66
219,-0.63
220,-0.81
221,-0.64
222,-1.51
223,-1.68
224,-1.45
225,-1.61
226,-1.04
227,0.0
228,0.48
229,-0.01
230,-0.41
231,-1.18
232,-1.12
233,-1.22
234,-2.21
235,-1.68
236,-1.98
237,-1.91
238,-1.25
239,-1.12
240,-0.42
241,-1.51
242,-1.27
243,-1.23
244,-1.3
245,-1.18
246,-0.71
247,0.11
248,-0.21
249,-0.2
250,1.08
251,1.57
252,1.45
253,1.23
254,1.01
255,0.36
256,0.21
257,-0.42
258,0.37
259,0.63
260,-0.17
261,0.74
262,-0.23
263,-0.6
264,-0.55
265,-0.21
266,-0.15
267,-0.0
268,0.61
269,-0.11
270,0.04
271,0.24
272,0.02
273,-0.72
274,-1.22
275,-0.64
276,-0.15
277,-0.01
278,0.7
279,0.28
280,1.36
281,0.85
282,0.11
283,-0.42
284,-0.99
285,-2.0
286,-1.89
287,-0.1
288,0.54
289,0.38
290,-0.74
291,-0.54
292,-0.37
293,0.21
294,0.39
295,-0.85
296,-1.54
297,-0.46
298,-0.81
299,-0.42
300,-0.69
301,-0.71
302,-1.1
303,-0.46
304,-0.29
305,-0.07
306,0.43
307,0.09
308,-0.97
309,-2.33
310,-1.46
311,-0.87
312,-1.5
313,-1.46
314,-1.26
315,-1.79
316,-1.62
317,-1.85
318,-1.96
319,-1.85
320,-1.87
321,-1.9
322,-1.59
323,-1.31
324,-1.81
325,-1.78
326,-2.06
327,-2.23
328,-1.32
329,-0.73
330,-0.71
331,-0.49
332,0.33
333,-0.13
334,-0.94
335,-0.51
336,0.05
337,0.25
338,-0.16
339,-0.04
340,-0.18
341,-0.79
342,-1.99
343,-2.21
344,-2.45
345,-1.6
346,-1.57
347,-2.04
348,-1.8
349,-1.46
350,-1.28
351,-1.02
352,-0.66
353,-1.08
354,-2.3
355,-2.37
356,-2.5
357,-1.92
358,-2.95
359,-2.4
360,-1.85
361,-1.35
362,-1.66
363,-1.01
364,-2.12
365,-1.63
366,-2.4
367,-2.6
368,-2.99
369,-1.22
370,-0.66
371,-1.31
372,-1.1
373,-1.42
374,-1.48
375,-0.72
376,-0.4
377,-1.19
378,-1.34
379,-1.56
380,-1.0
381,-1.65
382,-1.09
383,-1.04
384,-0.57
385,-0.42
386,0.3
387,0.36
388,1.27
389,-0.28
390,0.25
391,0.34
392,0.76
393,1.43
394,1.35
395,1.86
396,1.51
397,1.52
398,1.33
399,0.9
400,0.32
401,0.82
402,1.41
403,0.98
404,0.97
405,0.84
406,0.17
407,0.29
408,0.75
409,1.29
410,1.56
411,1.74
412,1.6
413,0.87
414,0.57
415,-0.63
416,-0.8
417,-0.43
418,0.96
419,0.61
420,-0.05
421,-0.01
422,0.1
423,0.56
424,0.45
425,0.35
426,-0.43
427,-0.63
428,-0.2
429,-0.68
430,-0.59
431,-0.03
432,0.38
433,-0.09
434,-0.72
435,-0.82
436,-0.46
437,-0.66
438,-0.01
439,-0.24
440,-0.35
441,-0.57
442,-0.71
443,-0.21
444,-0.34
445,-0.72
446,-0.4
447,0.09
448,0.26
449,-0.06
450,0.54
451,0.01
452,0.13
453,-0.9
454,-0.5
455,-0.0
456,-1.41
457,-1.48
458,-1.75
459,-1.32
460,-0.53
461,-0.75
462,-0.92
463,-1.33
464,-1.04
465,-0.62
466,-1.59
467,-0.99
468,-0.61
469,-1.09
470,-1.68
471,-1.84
472,-2.01
473,-1.81
474,-1.96
475,-0.94
476,-1.96
477,-3.13
478,-2.75
479,-2.71
480,-2.4
481,-1.91
482,-1.67
483,-2.1
484,-2.25
485,-1.33
486,-2.62
487,-2.39
488,-2.29
489,-1.82
490,-2.41
491,-2.21
492,-1.25
493,-1.65
494,-2.45
495,-3.07
496,-2.42
497,-2.53
498,-2.54
499,-2.47
500,-2.98
501,-2.23
502,-1.79
503,-1.66
504,-1.55
505,-1.33
506,-1.52
507,-2.12
508,-2.99
509,-3.16
510,-2.99
511,-2.88
